species_name,primary_strain,temperature_span_c,temperature_min_low_c,temperature_opt_low_c,temperature_max_high_c
Actinocorallia herbida,AL-50780,26,12,24,38
Actinocorallia herbida,AL-50780 (= IFO 15485),26,12,24,38
Actinocorallia lasiicapitis,DSM 100595T,33,4,25,37
Actinocorallia libanotica,ATCC 35576,27,10,28,37
Actinocorallia populi,CGMCC 4,35,10,28,45
Actinocrinis puniceicyclus,OB1T,17,13,25,30
Actinocrinis puniceicyclus,OB1,17,13,20,30
Actinocrispum wychmicini,MI503-A4T,14,20,27,34
Actinokineospora acnipugnans,R434T,46,4,28,50
Actinokineospora acnipugnans,R434,25,20,25,45
Actinokineospora bangkokensis,NBRC 108932T,27,12,14,39
Actinokineospora diospyrosa,,22,12,28,34
Actinokineospora diospyrosa,YU8-1 (= IFO 15665),7,22,22,29
Actinokineospora fastidiosa,NRRL B-16697,35,10,28,45
Actinokineospora globicatena,,24,11,28,35
Actinokineospora globicatena,YU6-1 (= IFO 15664),10,20,23,30
Actinokineospora guangxiensis,GK-6T,20,20,25,40
Actinokineospora inagensis,YU4-1,23,13,28,36
Actinokineospora inagensis,YU4-1 (= IFO 15663),5,22,22,27
Actinokineospora mzabensis,PAL84,15,20,25,35
Actinokineospora soli,YIM 75948,30,25,37,55
Actinokineospora spheciospongiae,EG49T,38,4,28,42
Actinokineospora terrae,,22,12,28,34
Actinokineospora terrae,YU6-3 (= IFO 15668),10,20,25,30
Actinomadura adrarensis,ACD12,12,25,30,37
Actinomadura alba,YIM 45681,41,4,28,45
Actinomadura alkaliterrae,D310AT,20,25,30,45
Actinomadura amylolytica,YIM 77502,30,25,45,55
Actinomadura atramentaria,JCM 6250,27,15,28,42
Actinomadura atramentaria,SF2197,27,15,28,42
Actinomadura bangladeshensis,,25,20,30,45
Actinomadura barringtoniae,GKU 128T,24,14,32,38
Actinomadura catellatispora,IFO 16341T,17,18,28,35
Actinomadura cellulosilytica,YIM 77510,30,25,45,55
Actinomadura chokoriensis,,25,20,30,45
Actinomadura citrea,ATCC 27887,27,10,28,37
Actinomadura coerulea,ATCC 33576,27,10,28,37
Actinomadura darangshiensis,DLS-70T,15,20,30,35
Actinomadura fibrosa,A82810.1,25,20,37,45
Actinomadura flavalba,YIM 61435,22,15,28,37
Actinomadura gamaensis,NEAU-Gz5,25,15,28,40
Actinomadura geliboluensis,A8036,25,20,30,45
Actinomadura glauciflava,,17,18,28,35
Actinomadura hallensis,H647-1T,25,20,28,45
Actinomadura hankyongense,Gsoil 556,24,18,30,42
Actinomadura harenae,CGMCC 4,35,10,28,45
Actinomadura jiaoheensis,NEAU-Jh1-3,27,15,28,42
Actinomadura keratinilytica,WCC-2265,25,30,45,55
Actinomadura kijaniata,SCC 1256,17,28,30,45
Actinomadura logoneensis,CGMCC 4,17,25,37,42
Actinomadura madurae,ATCC 19425,35,10,28,45
Actinomadura meridiana,DLS-45T,41,4,30,45
Actinomadura nitritigenes,L46T,15,30,30,45
Actinomadura rayongensis,JCM 19830T,30,15,25,45
Actinomadura rhizosphaerae,KCTC 39965T,20,20,30,40
Actinomadura roseirufa,LMG 30035,22,15,28,37
Actinomadura rubrobrunea,ATCC 49883,28,37,45,65
Actinomadura rupiterrae,CS5-AC15,30,4,30,42
Actinomadura scrupuli,KCTC 19488T,10,20,30,30
Actinomadura sediminis,DSM 45500T,17,28,37,45
Actinomadura sporangiiformans,NEAU-Jh2-5,22,20,28,42
Actinomadura syzygii,GKU 157T,26,14,28,40
Actinomadura terrae,KACC 19752T,17,20,30,37
Actinomadura viridilutea,ATCC 33925,28,37,45,65
Actinomadura xylanilytica,BK147,27,10,28,37
Actinomarinicola tropica,KCTC 49408T,35,10,35,45
Actinomyces culturomici,CSUR P3561,9,28,30,37
Actinomyces glycerinitolerans,G10,20,25,30,45
Actinomyces haliotis,WL80,17,20,30,37
Actinomyces massiliensis,4401292,7,30,37,37
Actinomyces naturae,BL-79,23,20,30,43
Actinomyces pyogenes,NCTC 5224,20,20,37,40
Actinomyces qiguomingii,CGMCC 1,14,28,37,42
Actinomyces radingae,,18,25,37,43
Actinomyces ruminicola,B71T,35,20,46,55
Actinomyces succiniciruminis,Am4,20,25,37,45
Actinomyces timonensis,7400942,12,25,37,37
Actinomyces turicensis,CCUG 32401T,18,25,37,43
Actinomyces wuliandei,CGMCC 1,14,28,37,42
Actinomycetospora endophytica,TBRC 5722T,15,15,20,30
Actinomycetospora rhizophila,NEAU-B-8T,8,20,28,28
Actinomycetospora rishiriensis,RI109-Li102T,20,10,30,30
Actinophytocola burenkhanensis,MN08-A0203,15,15,28,30
Actinophytocola burenkhanensis,NBRC 105883T,15,15,25,30
Actinophytocola corallina,NBRC 105525T,13,15,25,28
Actinophytocola gilvus,I12A-02593,27,10,28,37
Actinophytocola glycyrrhizae,KCTC 49002T,15,15,28,30
Actinophytocola oryzae,GMKU 367,18,12,18,30
Actinophytocola sediminis,YIM M13705,20,10,25,30
Actinophytocola timorensis,NBRC 105524T,22,15,25,37
Actinophytocola xanthii,KCTC 39690T,22,15,28,37
Actinophytocola xinjiangensis,CGMCC 4,20,10,25,30
Actinoplanes abujensis,A4029,17,20,28,37
Actinoplanes aksuensis,LMG 32622T,17,20,28,37
Actinoplanes askuensis,LMG 32622T,17,20,28,37
Actinoplanes caeruleus,SCC 1014,7,28,30,35
Actinoplanes campanulatus,ATCC 15348,17,18,25,35
Actinoplanes digitatis,ATCC 15349,27,18,25,45
Actinoplanes hotanensis,LMG 32621T,27,10,28,37
Actinoplanes hulinensis,NEAU-M9,14,18,28,32
Actinoplanes ianthinogenes,NBRC 13996,22,15,28,37
Actinoplanes ianthinogenes,NBRC 13996T,22,15,28,37
Actinoplanes italicus,A 5221,22,15,28,37
Actinoplanes lichenis,LDG1-22,21,17,20,38
Actinoplanes lobatus,ATCC 15350,27,18,25,45
Actinoplanes luteus,A-T 5190,17,20,28,37
Actinoplanes lutulentus,NEAU-GRX6T,17,15,28,32
Actinoplanes missouriensis,ATCC 14538,17,15,28,32
Actinoplanes octamycinicus,,22,15,28,37
Actinoplanes octamycinicus,NBRC 14524T,22,15,25,37
Actinoplanes polyasparticus,LMG 32389T,17,20,28,37
Actinoplanes ramoplaninifer,ATCC 33076,20,22,32.5,42
Actinoplanes rectilineatus,ATCC 29234,27,10,23,37
Actinoplanes regularis,CBS 193.64,17,18,25,35
Actinoplanes rhizophilus,NEAU-A-2,20,15,28,35
Actinoplanes rishiriensis,RI50-RCA114,17,20,30,37
Actinoplanes sediminis,M4I47,21,16,28,37
Actinoplanes siamensis,A-T 6646,15,25,27.5,40
Actinoplanes subglobosus,A-T 5400,17,20,25,37
Actinopolymorpha pittospori,PIP 143T,12,15,27,27
Actinopolymorpha rutila,YIM 45725,22,15,28,37
Actinopolyspora alba,YIM 90480,20,25,37,45
Actinopolyspora algeriensis,H19,15,25,30,40
Actinopolyspora biskrensis,H254,17,20,30,37
Actinopolyspora egyptensis,HT371,35,10,30,45
Actinopolyspora erythraea,YIM 90600T,20,25,37,45
Actinopolyspora halophila,ATCC 27976,33,10,37,43
Actinopolyspora iraqiensis,IQ-H1T,20,30,35,50
Actinopolyspora lacussalsi,TRM 40139,15,25,35,40
Actinopolyspora mortivallis,HS-1,40,10,45,50
Actinopolyspora mzabensis,H55,15,25,30,40
Actinopolyspora saharensis,H32,15,20,28,35
Actinopolyspora salinaria,HS05-03,19,22,37,41
Actinopolyspora xinjiangensis,TRM 40136,25,25,37,50
Actinorectispora indica,YIM 75728,13,15,28,28
Actinorectispora metalli,KC 198T,35,10,28,45
Actinospica acidiphila,DSM 44926T,16,17,28,33
Actinospica durhamensis,CSCA57,18,15,28,33
Actinospica robiniae,,16,17,25,33
Actinospica robiniae,GE134769,16,17,22,33
Actinosporangium vitaminophilum,ATCC 31673,30,15,25,45
Actinosynnema mirum,Hasegawa 101,25,10,28,35
Actinotalea caeni,EBR-4-2T,45,10,30,55
Actinotalea ferrariae,CF5-4T,36,4,28,40
Actinotalea lenta,T00b441T,25,15,28,40
Actinotalea solisilvae,THG-T121,30,10,29,40
Actinotalea solisilvae,KACC 19191T,30,10,28,40
Acuticoccus kandeliae,DSM 104434T,10,20,25,30
Acuticoccus sediminis,KCTC 52323T,36,4,30,40
Acuticoccus yangtzensis,JL1095,35,15,35,50
Adhaeribacter aerolatus,,25,10,28,35
Adhaeribacter aerophilus,,27,10,28,37
Adhaeribacter aquaticus,MBRG1.5T,33,4,30,37
Adhaeribacter rhizoryzae,KACC 19902T,28,7,30,35
Adhaeribacter swui,17mud1-7,19,18,28,37
Adhaeribacter terrae,KCTC 52512T,15,15,25,30
Adhaeribacter terreus,DNG6,17,16,28,33
Adlercreutzia shanghongiae,R25T,17,25,35,42
Adlercreutzia wanghongyangiae,KCTC 25860T,17,25,35,42
Advenella alkanexedens,JCM 30465T,48,4,30,52
Advenella alkanexedens,LAM005,48,4,30,52
Advenella faeciporci,M-07T,35,10,25,45
Aequorivita antarctica,SW49,27,-2,20,25
Aequorivita capsosiphonis,KCTC 22183T,36,4,25,40
Aequorivita crocea,Y12-2,27,-2,20,25
Aequorivita flava,CDY1-MB1T,22,15,30,37
Aequorivita lipolytica,,23,2,20,25
Aequorivita lipolytica,Y10-2,27,-2,20,25
Aequorivita lutea,q18T,30,10,30,40
Aequorivita marina,S2608T,36,4,33,40
Aequorivita nionensis,VBW088,27,10,30,37
Aequorivita sediminis,KCTC 92653T,36,4,33,40
Aequorivita sinensis,CGMCC 1,38,4,30,42
Aequorivita soesokkakensis,RSSK-12,27,10,30,37
Aequorivita sublithincola,9寧3擔,27,-2,20,25
Aequorivita viscosa,8-1bT,35,4,30,39
Aequorivita vitellina,F47161T,22,15,30,37
Aequorivita vladivostokensis,KMM 3516,39,4,28,43
Aequorivita xiaoshiensis,F64183T,27,10,30,37
Aeribacillus composti,N.8T,15,50,60,65
Aeriscardovia aeriphila,T6,16,30,37,46
Aerobic cellulolytic,"by the ability to degrade xylan, starch and some other polysaccharides, by greater tolerance of acidic pH and by the inability to reduce nitrate",33,4,25,37
Aerobic lithoautotrophic,3753OT,18,42,50,60
Aerococcus agrisoli,JCM 33111T,15,30,30,45
Aeromicrobium alkaliterrae,KSL-107T,32,4,25,36
Aeromicrobium alkaliterrae,KSL-107,31,4,25,35
Aeromicrobium camelliae,CGMCC 1,35,15,30,50
Aeromicrobium chenweiae,CGMCC1,16,14,28,30
Aeromicrobium choanae,9H-4T,31,8,30,39
Aeromicrobium choanae,9H-4,31,8,29,39
Aeromicrobium endophyticum,KCTC 49174T,26,4,25,30
Aeromicrobium erythreum,NRRL B-3381,19,21,35,40
Aeromicrobium fastidiosum,IFO 14897 (= NCIB 12713),25,5,25,30
Aeromicrobium flavum,TYLN1,12,25,30,37
Aeromicrobium ginsengisoli,Gsoil 098T,26,4,30,30
Aeromicrobium halocynthiae,KME 001T,32,10,25,42
Aeromicrobium lacus,NBRC 112936T,33,4,28,37
Aeromicrobium marinum,T2T,31,4,25,35
Aeromicrobium massiliense,JC14,20,25,25,45
Aeromicrobium panaciterrae,Gsoil 161,15,15,30,30
Aeromicrobium piscarium,KCTC 49280T,20,15,28,35
Aeromicrobium ponti,DSM 19178T,38,4,30,42
Aeromicrobium tamlense,SSW1-57T,32,10,30,42
Aeromicrobium yanjiei,CGMCC 1,16,14,28,30
Aeromonas aquatica,AE235,15,15,30,30
Aeromonas bivalvium,CECT 7113T,33,4,30,37
Aeromonas eucrenophila,ATCC 23309,37,0,30,37
Aeromonas finlandiensis,4287D,15,15,30,30
Aeromonas fluvialis,717T,36,4,30,40
Aeromonas lacus,AE122,15,15,30,30
Aeromonas media,ATCC 33907,33,4,22,37
Aeromonas molluscorum,CECT 5864T,33,4,25,37
Aeromonas piscicola,S1.2,33,4,25,37
Aeromonas popofii,LMG 17541,9,28,28,37
Aeromonas rivuli,,30,7,30,37
Aeromonas sanarellii,,15,30,30,45
Aeropyrum camini,JCM 12091T,27,70,85,97
Aeropyrum pemix,JCM 9820,30,70,90,100
Aeropyrum pernix,K1,30,70,92.5,100
Aestuariibacter aggregatus,WH169,9,28,37,37
Aestuariibacter halophilus,KCTC 12043T,25,15,40,40
Aestuariibacter litoralis,KMM 3894,36,4,30,40
Aestuariibacter salexigens,KCTC 12042T,20,20,35,40
Aestuariibaculum marinum,IP7,33,4,30,37
Aestuariibaculum scopimerae,I-15,32,10,25,42
Aestuariibaculum suncheonense,SC17,35,5,25,40
Aestuariibius insulae,DBTF-13,20,10,25,30
Aestuariibius violaceus,2305UL40-4T,14,22,25,36
Aestuariicella hydrocarbonica,SM-6,27,10,20,37
Aestuariicella hydrocarbonica,SM-6T,27,10,25,37
Aestuariicoccus marinus,NAP41T,25,15,37,40
Aestuariicola saemankumensis,SMK-142T,29,4,25,33
Aestuariihabitans beolgyonensis,BB-MW15,31,4,30,35
Aestuariimicrobium kwangyangense,R27T,36,4,30,40
Aestuariimicrobium soli,KCTC 39995T,33,4,30,37
Aestuariispira insulae,AH-MY2,22,15,30,37
Aestuariivirga litoralis,M10001T,17,20,28,37
Aestuariivita atlantica,KCTC 42276T,35,10,28,45
Aestuariivita boseongensis,BS-B2,25,15,30,40
Aestuariivivens insulae,AH-MY3,30,10,35,40
Aetherobacter fasciculatus,SBSr002T,12,18,30,30
After cultivation,34079T,40,10,35,50
After dehydration,TRO-001DR8T,12,28,35,40
After dispensing,DSM 107278T,25,40,55,65
After division,"by the ability to degrade xylan, starch and some other polysaccharides, by greater tolerance of acidic pH and by the inability to reduce nitrate",33,4,25,37
After generating,WS4937T,27,12,33,39
After incubation,JCM 30603T,22,20,30,42
After incubation,DSM 107278T,25,40,55,65
After numerous,DSM 25557T,17,25,37,42
Agaribacter flavus,2p52T,27,15,33,42
Agaribacter marinus,8-8T,26,4,26.5,30
Agaribacter marinus,8寧8擔,26,4,25,30
Agaribacterium haliotis,feces2T,24,16,29,40
Agaribacterium haliotis,feces2,24,16,28,40
Agaricicola taiwanensis,CC-SBABM117T,20,20,32.5,40
Agaricicola taiwanensis,CC-SBABM117,20,20,30,40
Agarilytica rhodophyticola,17,25,15,28,40
Agarivorans aestuarii,hydD622T,20,10,25,30
Agarivorans gilvus,WH0801,35,10,30,45
Agarivorans gilvus,CGMCC 1,35,10,32,45
Agarivorans litoreus,GJSW-6,33,4,30,37
Agarivorans sediminis,TSD2052ᵀ (=KCTC 92288ᵀ=JCM 35392ᵀ),25,10,25,35
Agathobacter ruminis,JK623T,20,25,37,45
Agathobacter ruminis,JK623,20,25,35,45
Agathobaculum butyriciproducens,SR79,10,30,37,40
Agathobaculum desmolans,ATCC 43058,5,35,37,40
Aggregatilinea lenta,MO-CFX2T,17,20,30,37
Aggregicoccus edonensis,MCy1366,7,30,30,37
Agreia bicolorata,VKM Ac-1804,20,17,24,37
Agriterribacter humi,KACC 19548T,23,10,28,33
Agrobacterium salinitolerans,YIC 5082,17,20,28,37
Agrococcus carbonis,G4,22,15,30,37
Agrococcus casei,R-17892t2T,10,20,30,30
Agrococcus jejuensis,SSW1-48T,27,10,30,37
Agrococcus lahaulensis,DSM 17612T,12,25,30,37
Agrococcus terreus,DNG5T,17.5,20,30,40
Agrococcus terreus,DNG5,20,20,30,40
Agrococcus versicolor,K 114/01,33,4,21,37
Agromyces albus,VKM Ac-1800,30,7,27,37
Agromyces albus,Ac-1800T,30,7,26,37
Agromyces allii,UMS-62T,29,4,30,33
Agromyces arachidis,AK-1,12,25,30,37
Agromyces atrinae,KCTC 19593T,27,10,30,37
Agromyces aureus,AR33T,20,10,28,30
Agromyces badenianii,CGMCC 1,28,9,28,37
Agromyces bauzanensis,BZ41,36,1,25,37
Agromyces binzhouensis,OAct353T,24,12,28,36
Agromyces endophyticus,KACC 21836T,30,10,30,40
Agromyces flavus,CPCC 202695,30,10,30,40
Agromyces flavus,CPCC 202695T,30,10,28,40
Agromyces humatus,DSM 16389T,22,15,28,37
Agromyces humi,KACC 18683T,20,20,30,40
Agromyces indicus,NIO-1018,30,10,28,40
Agromyces insulae,CFH S0483,27,10,28,37
Agromyces iriomotensis,NBRC 106452T,17,20,25,37
Agromyces italicus,CD1,27,10,28,37
Agromyces kandeliae,KCTC 39961T,30,10,30,40
Agromyces lapidis,DSM 16390T,27,10,28,37
Agromyces lapidis,CD55,22,15,28,37
Agromyces larvae,CFWR-12T,30,10,28,40
Agromyces marinus,H23-8,27,10,28,37
Agromyces neolithicus,DSM 16197T,22,15,28,37
Agromyces protaetiae,KACC 19308T,20,15,28,35
Agromyces ramosus,ATCC 25173,17,20,30,37
Agromyces salentinus,20-5T,27,10,24,37
Agromyces seonyuensis,KCTC 49423T,30,4,30,34
Agromyces seonyunensis,KCTC 49423T,30,4,30,34
Agromyces soli,MJ21,20,10,25,30
Agromyces subbeticus,Z33T,31,6,28,37
Agromyces subtropica,IY07-56T,27,10,25,37
Agromyces subtropicus,IY07-56T,27,10,28,37
Agromyces tardus,CGMCC 4,33,4,28,37
Agromyces terreus,DS-10,25,10,25,35
Agromyces tropicus,CM9-9,5,25,30,30
Agromyces ulmi,LMG 21954T,22,15,28,37
Ahniella affigens,KACC 19270T,20,15,30,35
Ahrensia kielensis,JCM 20689,33,4,32,37
Ahrensia marina,LZD062T,27,10,28,37
Aidingimonas halophila,YIM 90637,35,10,37,45
Aidingimonas lacisalsi,XHU 5135T,28,13,37,41
Aidingimonas lacisalsi,XHU 5135,28,13,35,41
Akkermansia biwaensis,NBRC 115679T,20,25,37,45
Akkermansia glycaniphila,Pyt,25,15,25,40
Akkermansia muciniphila,MucT,20,20,37,40
Albibacter methylovorans,DM10T,27,10,29,37
Albidovulum xiamenense,YBY-7T,37,28,54,65
Albidovulum xiamenense,YBY-7,37,28,50,65
Albimonas donghaensis,DS2T,28,10,29,38
Albimonas donghaensis,DS2,28,10,28,38
Albimonas pacifica,P-50-3,30,10,30,40
Albirhodobacter confluentis,S1-47T,20,10,25,30
