species_name,source_file,growth_temperature_combined,raw_output_combined,Tmin_list,Tmax_list,Topt_list,Tmin,Tmax,Topt
Acetobacterium paludosum,Willems-1996-Phylogenetic relationships of the,psychrophilic,,,,,,,
Acetobacterium woodii,"Balch-1977-Acetobacterium, a New Genus of Hydr",30,,,,30.0,,,30
Acetobacteroides hydrogenigenes,Su-2014-Acetobacteroides hydrogenigenes gen. n,25-40°C (optimum 37°C) | 25-40 °C (optimum 37 °C),,25.0,40.0,37.0,25,40,37
Acetomicrobium flavidum,Ben Hania-2016-Reclassification of Anaerobacul,thermophilic,,,,,,,
Acetomicrobium flavidum,Jumas-Bilak-2015-Rarimicrobium hominis gen. no,thermophilic,,,,,,,
Acetomicrobium hydrogeniformans,Ben Hania-2016-Reclassification of Anaerobacul,55 (40-65),,40.0,65.0,55.0,40,65,55
Acetomicrobium mobile,Ben Hania-2016-Reclassification of Anaerobacul,55-60 (35-65),,55.0,60.0,,55,60,
Acetomicrobium thermoterrenum,Ben Hania-2016-Reclassification of Anaerobacul,55 (28-60),,28.0,60.0,55.0,28,60,55
Acholeplasma cavigenitalium,Hill-1992-Acholeplasma-Cavigenitalium Sp-Nov,35-37°C | 35 to 37°C,,35.0,37.0,,35,37,
Acholeplasma multilocale,"Hill-1992-Acholeplasma-Multilocale Sp-Nov, Iso",35-37°C | 35 to 37°C,,35.0,37.0,,35,37,
Acholeplasma parvum,"Atobe-1983-Acholeplasma-Parvum, a New Species","22, 30, 37, 45°C | 22-37°C (optimum close to 30°C), no growth at 45°C",,22.0,37.0,30.0,22,37,30
Acholeplasma pleciae comb. nov.,Knight-2004-Reclassification of Mesoplasma ple,30,,,,30.0,,,30
Acholeplasma seiffertii,"Bonnet-1991-Acholeplasma-Seiffertii Sp-Nov, a","20 to 35°C, optimum at 28°C",,20.0,35.0,28.0,20,35,28
Acholeplasma seiflertii,"Bonnet-1991-Acholeplasma-Seiffertii Sp-Nov, a","28°C optimum, range 20-35°C",,20.0,35.0,28.0,20,35,28
Acholeplasma vituli,"Angulo-2000-Acholeplasma vituli sp nov., from","30-37 °C | 37 °C (optimal), also grows at 30°C and 32°C | 25-37 °C",,25.0,37.0,37.0,25,37,37
Achromobacter agilis sp. nov.,Vandamme-2016-Taxonomic dissection of Achromob,28°C,,,,28.0,,,28
Achromobacter aloeverae,Kuncharoen-2017-Achromobacter aloeverae sp nov,20-42°C (optimally at 30-37°C) | 20-42°C (optimum 30-37°C),,20.0,42.0,,20,42,
Achromobacter deleyi,Vandamme-2016-Taxonomic dissection of Achromob,28°C,,,,28.0,,,28
Achromobacter insolitus,Coenye-2003-Achromobacter insolitus sp nov and,28-37°C,,28.0,37.0,,28,37,
Achromobacter insolitus sp. nov.,Coenye-2003-Achromobacter insolitus sp nov and,37,,,,37.0,,,37
Achromobacter kerstersii,Vandamme-2016-Taxonomic dissection of Achromob,28°C,,,,28.0,,,28
Achromobacter marplatensis,Gomila-2011-Achromobacter marplatensis sp nov,15-40 °C,,15.0,40.0,,15,40,
Achromobacter pestifer,Vandamme-2016-Taxonomic dissection of Achromob,28°C,,,,28.0,,,28
Achromobacter sediminum,"Zhang-2014-Achromobacter sediminum sp nov., is",4-42 °C (optimum 28 °C) | 4-42°C (optimum 28°C),,4.0,42.0,28.0,4,42,28
Achromobacter spanius,Coenye-2003-Achromobacter insolitus sp nov and,28-37°C,,28.0,37.0,,28,37,
Achromobacter spanius sp. nov.,Coenye-2003-Achromobacter insolitus sp nov and,37,,,,37.0,,,37
Achromobacter xylosoxidans,Yabuuchi-1974-Description of Achromobacter-Xyl,20 | 30 C,,20.0,30.0,,20,30,
Acidaminococcus fermentans,Cook-1994-Emendation of the Description of Aci,"30-37°C (optimum), weak or no growth at 25 and 45°C",,30.0,37.0,,30,37,
Acidaminococcus intestini,Jumas-Bilak-2007-Acidaminococcus intestini sp,37,,,,37.0,,,37
Acidianus infernus,Dufresne-1996-Sulfobacillus disulfidooxidans s,extremely acidophilic thermophilic,,,,,,,
Acidicapsa borealis,Kulichevskaya-2012-Acidicapsa borealis gen. no,"10-33°C, optimum 22-28°C",,10.0,33.0,25.0,10,33,25
Acidicapsa borealis sp. nov.,Kulichevskaya-2012-Acidicapsa borealis gen. no,10-33°C (optimum 22-28°C),,10.0,33.0,25.0,10,33,25
Acidicapsa ligni,Kulichevskaya-2012-Acidicapsa borealis gen. no,"10-33°C, optimum 22-28°C",,10.0,33.0,25.0,10,33,25
Acidicapsa ligni sp. nov.,Kulichevskaya-2012-Acidicapsa borealis gen. no,10-33°C (optimum 22-28°C),,10.0,33.0,25.0,10,33,25
Acidihalobacter prosperus,Cardenas-2015-Reclassification of 'Thiobacillu,"37 °C (optimal), up to 41 °C",,,41.0,37.0,,41,37
Acidilobus saccharovorans,Prokofeva-2009-Isolation of the anaerobic ther,"60-90°C, optimum 80-85°C | 60-92°C (optimum 80-85°C) | 60-90°C (optimum 80-85°C)",,60.0,90.0,82.5,60,90,82.5
Acidiphilium acidophilum,Hiraishi-1998-Phylogeny and photosynthetic fea,"25-30°C (range, 10-35°C)",,10.0,35.0,,10,35,
Acidiphilium acidophilum comb. nov.,Hiraishi-1998-Phylogeny and photosynthetic fea,30,,,,30.0,,,30
Acidiphilium cryptum,"Harrison-1981-Acidiphilium-Cryptum Gen-Nov, Sp","mesophilic (28°C incubation temperature mentioned) | 20-41°C, optimum 35-41°C, no growth at 47°C",,20.0,41.0,35.0,20,41,35
Acidiphilium organovorum,"Lobos-1986-Acidiphilium-Organovorum Sp-Nov, an","37 | 37°C (optimal), 30-42°C (good growth), no growth above 45°C",,30.0,42.0,37.0,30,42,37
Acidipila dinghuensis,"Jiang-2016-Acidipila dinghuensis sp nov., an a",10-37°C (optimum 28-37°C),,10.0,37.0,,10,37,
Acidipila dinghuensis sp. nov.,"Jiang-2016-Acidipila dinghuensis sp nov., an a",10-37°C (optimum 28-37°C),,10.0,37.0,,10,37,
Acidiplasma aeolicum,Golyshina-2009-Acidiplasma aeolicum gen. nov,15-65°C with optimum at 45°C | 15-65°C (optimum 42-45°C) | 15-65 °C (optimum 42-45 °C),,15.0,65.0,45.0,15,65,45
Acidiplasma cupricumulans,Golyshina-2009-Acidiplasma aeolicum gen. nov,22-63 °C (optimum 53.6 °C),,22.0,63.0,53.6,22,63,53.6
Acidisoma sibiricum,"Belova-2009-Acidisoma tundrae gen. nov., sp no",2-30 °C | 2-30°C (optimum 20-25°C),,2.0,30.0,,2,30,
Acidisoma tundrae,"Belova-2009-Acidisoma tundrae gen. nov., sp no",2-30 °C | 2-30°C (optimum 15-22°C),,2.0,30.0,,2,30,
Acidisphaera rubrifaciens,Hiraishi-2000-Acidisphaera rubrifaciens gen. n,30 °C | 30-35 °C | 20-40 °C (optimum 30-35 °C),,20.0,40.0,30.0,20,40,30
Aciditerrimonas ferrireducens,Itoh-2011-Aciditerrimonas ferrireducens gen. n,35-58°C (optimum 50°C) | 35-58 °C (optimum 50 °C),,35.0,58.0,50.0,35,58,50
Aciditerrimonas ferrireducens,Itoh-2016-Athalassotoga saccharophila gen. nov,thermoacidophilic,,,,,,,
Acidithiobacillus albertensis,Kelly-2000-Reclassification of some species of,25-30,,25.0,30.0,,25,30,
Acidithiobacillus caldus,Kelly-2000-Reclassification of some species of,45 (32-52),,32.0,52.0,45.0,32,52,45
Acidithiobacillus ferridurans,Hedrich-2013-Acidithiobacillus ferridurans sp,"mesophilic, 30°C | 10-37°C (optimum 29°C) | 29 °C",,10.0,37.0,29.0,10,37,29
Acidithiobacillus ferriphilus,Falagan-2016-Acidithiobacillus ferriphilus sp,"mesophilic (5-35°C), optimum 30°C, maximum 33°C for type strain M20T | 30 °C (optimum), some strains psychrotolerant (grow at 5 °C)",,5.0,35.0,30.0,5,35,30
Acidithiobacillus ferrooxidans,Kelly-2000-Reclassification of some species of,30-35 (10-37),,10.0,37.0,,10,37,
Acidithiobacillus thiooxidans,Kelly-2000-Reclassification of some species of,28-30 (10-37),,10.0,37.0,,10,37,
Acidocella aluminiidurans,Kimoto-2010-Acidocella aluminiidurans sp nov,17-42°C (optimum 37°C) | 17-42 °C,,17.0,42.0,37.0,17,42,37
Acidomonas methanolica,"Urakami-1989-Acidomonas Gen-Nov, Incorporating",30-37°C,,30.0,37.0,,30,37,
Acidomonas methanolica,Yamashita-2004-Emendation of the genus Acidomo,30 | 30 °C,,,,30.0,,,30
Acidothermus cellulolyticus,"Kurahashi-2010-Euzebya tangerina gen. nov., sp",thermophilic,,,,,,,
Acidothermus cellulolyticus,"Lee-2012-Motilibacter peucedani gen. nov., sp",thermophilic,,,,,,,
Acidothermus cellulolyticus,Tamura-1999-Sporichthya brevicatena sp nov,thermophilic,,,,,,,
Acidothermus cellulolyticus,Zhi-2009-An update of the structure and 16S rR,thermophilic,,,,,,,
Acidovorax anthurii,"Gardan-2000-Acidovorax anthurii sp nov., a new","26 °C (greenhouse mean temperature), growth observed at 37 and 41 °C",,,41.0,26.0,,41,26
Acidovorax avenae subsp. avenae,Willems-1992-Transfer of Several Phytopathogen,30-35°C,,30.0,35.0,,30,35,
Acidovorax avenae subsp. cattleyae,Willems-1992-Transfer of Several Phytopathogen,30-35°C,,30.0,35.0,,30,35,
Acidovorax avenae subsp. citrulli,Willems-1992-Transfer of Several Phytopathogen,30-35°C,,30.0,35.0,,30,35,
Acidovorax caeni,"Heylen-2008-Acidovorax caeni sp nov., a denitr",28 °C (range: 4-37 °C) | 15–37 °C,,4.0,37.0,28.0,4,37,28
Acidovorax konjaci,Willems-1992-Transfer of Several Phytopathogen,30-35°C,,30.0,35.0,,30,35,
Acidovorax radicis,"Li-2011-Acidovorax radicis sp nov., a wheat-ro",10-35°C (optimal 30°C) | 10-35 °C (optimum 30 °C),,10.0,35.0,30.0,10,35,30
Acidovorax soli,"Choi-2010-Acidovorax soli sp nov., isolated fr",10-42 °C (optimum 30 °C),,10.0,42.0,30.0,10,42,30
Acidovorax temperans,"Willems-1990-Acidovorax, a New Genus for Pseud",28°C,,,,28.0,,,28
Acidovorax valerianellae,Gardan-2003-Acidovorax valerianellae sp nov,25 | no growth at 4 or 41°C,,4.0,41.0,25.0,4,41,25
Acidovorax wautersii,Vaneechoutte-2013-Description of Acidovorax wa,20-37°C,,20.0,37.0,,20,37,
Acinetobacter albensis,"Krizova-2015-Acinetobacter albensis sp nov., i",unable to grow at 35°C | 15-30°C,,15.0,30.0,,15,30,
Acinetobacter albensis sp. nov.,"Krizova-2015-Acinetobacter albensis sp nov., i",unable to grow at 35°C,,,,35.0,,,35
Acinetobacter baumannii,Bouvet-1986-Taxonomy of the Genus Acinetobacte,44°C | 15 to 44°C,,15.0,44.0,,15,44,
Acinetobacter baylyi,Carr-2003-Seven novel species of Acinetobacter,"30 | 37 and 41 °C, but not at 44 °C",,30.0,41.0,37.0,30,41,37
Acinetobacter boissieri,Alvarez-Perez-2013-Acinetobacter nectaris sp n,4-30°C (not at 37°C or 41°C),,4.0,30.0,,4,30,
Acinetobacter boissieri sp. nov.,Alvarez-Perez-2013-Acinetobacter nectaris sp n,"4-30°C (some strains), 25-30°C (all strains), no growth at 37 or 41°C | 4-30°C (no growth at 37°C or 41°C)",,4.0,30.0,,4,30,
Acinetobacter bouvetii,Carr-2003-Seven novel species of Acinetobacter,"30 | 37 and 41 °C, but not at 44 °C",,30.0,41.0,37.0,30,41,37
Acinetobacter celticus,Radolfova-Krizo-2016-Acinetobacter celticus sp,"unable to grow at 32°C and above | 1-28°C (no growth at 32°C, weak growth at 30°C)",,1.0,28.0,,1,28,
Acinetobacter celticus sp. nov.,Radolfova-Krizo-2016-Acinetobacter celticus sp,1-28°C,,1.0,28.0,,1,28,
Acinetobacter defluvii,"Hu-2017-Acinetobacter defluvii sp nov., recove",30°C | 20-37°C,,20.0,37.0,30.0,20,37,30
Acinetobacter dijkshoorniae sp. nov.,Cosgaya-2016-Acinetobacter dijkshoorniae sp no,25 to 44°C,,25.0,44.0,,25,44,
Acinetobacter equi sp. nov.,"Poppel-2016-Acinetobacter equi sp nov., isolat",27-37°C,,27.0,37.0,,27,37,
Acinetobacter gerneri,Carr-2003-Seven novel species of Acinetobacter,"30 | 37 and 41 °C, but not at 44 °C",,30.0,41.0,37.0,30,41,37
Acinetobacter grimontii,Carr-2003-Seven novel species of Acinetobacter,"30 | 37 and 41 °C, but not at 44 °C",,30.0,41.0,37.0,30,41,37
Acinetobacter guangdongensis,Feng-2014-Acinetobacter guangdongensis sp nov,10-40 °C,,10.0,40.0,,10,40,
Acinetobacter guangdongensis sp. nov.,Feng-2014-Acinetobacter guangdongensis sp nov,10–40 °C (optimum 28–30 °C),,10.0,40.0,29.0,10,40,29
Acinetobacter haemolyticus,Bouvet-1986-Taxonomy of the Genus Acinetobacte,15 to 37°C,,15.0,37.0,,15,37,
Acinetobacter harbinensis,"Li-2014-Acinetobacter harbinensis sp nov., iso",2-35°C (optimum 8-20°C),,2.0,35.0,,2,35,
Acinetobacter indicus,"Malhotra-2012-Acinetobacter indicus sp nov., i",4-44°C (optimal 28°C) | 22-42 °C (optimum 28 °C),,4.0,44.0,28.0,4,44,28
Acinetobacter indicus sp. nov.,"Malhotra-2012-Acinetobacter indicus sp nov., i",28,,,,28.0,,,28
Acinetobacter johnsonii,Bouvet-1986-Taxonomy of the Genus Acinetobacte,unable to grow at 37°C | 15 to 30°C,,15.0,30.0,,15,30,
Acinetobacter junii,Bouvet-1986-Taxonomy of the Genus Acinetobacte,"15 to 37°C, occasionally at 41°C",,15.0,41.0,,15,41,
Acinetobacter kookii,"Choi-2013-Acinetobacter kookii sp nova, isolat","24, 30, 37 and 41 °C | 24-41 °C",,24.0,41.0,,24,41,
Acinetobacter lactucae,"Rooney-2016-Acinetobacter lactucae sp nov., is",4-48°C | 15-44°C (optimum 30°C),,4.0,48.0,30.0,4,48,30
Acinetobacter larvae,"Liu-2017-Acinetobacter larvae sp nov., isolate",10-45°C (optimum: 30-35°C) | 10-45°C (optimum 30-35°C),,10.0,45.0,,10,45,
Acinetobacter nectaris,Alvarez-Perez-2013-Acinetobacter nectaris sp n,"25-30°C (not at 4, 37 and 41°C)",,25.0,30.0,,25,30,
Acinetobacter nectaris sp. nov.,Alvarez-Perez-2013-Acinetobacter nectaris sp n,"4-30°C (some strains), 25-30°C (all strains), no growth at 37 or 41°C | 4-30°C (no growth at 37°C or 41°C)",,4.0,30.0,,4,30,
Acinetobacter oleivorans,Kang-2011-Acinetobacter oleivorans sp. nov. is,20-37°C,,20.0,37.0,,20,37,
Acinetobacter oleivorans sp. nov.,Kang-2011-Acinetobacter oleivorans sp. nov. is,20-37°C (optimum 30-37°C),,20.0,37.0,,20,37,
Acinetobacter piscicola,"Liu-2018-Acinetobacter piscicola sp nov., isol","4-32°C (optimum 25-28°C) | 4-35°C (no growth at 37°C, 41°C, 44°C)",,4.0,32.0,,4,32,
Acinetobacter populi,Li-2015-Description of Acinetobacter populi sp,41°C,,,,41.0,,,41
Acinetobacter populi sp. nov.,Li-2015-Description of Acinetobacter populi sp,10-41 °C,,10.0,41.0,,10,41,
Acinetobacter pragensis,Radolfova-Krizo-2016-Acinetobacter pragensis s,unable to grow at 37°C | 15 to 33°C,,15.0,33.0,,15,33,
Acinetobacter pragensis sp. nov.,Radolfova-Krizo-2016-Acinetobacter pragensis s,30°C,,,,30.0,,,30
Acinetobacter puyangensis,"Li-2013-Acinetobacter puyangensis sp nov., iso",30 | 10-41 °C (optimum 30 °C),,10.0,41.0,30.0,10,41,30
Acinetobacter puyangensis sp. nov.,"Li-2014-Acinetobacter qingfengensis sp nova, i",25-41°C,,25.0,41.0,,25,41,
Acinetobacter qingfengensis,"Li-2014-Acinetobacter qingfengensis sp nova, i",41°C | 25-41°C (best at 30°C),,25.0,41.0,30.0,25,41,30
Acinetobacter rudis,Vaz-Moreira-2011-Acinetobacter rudis sp nov,30 | 10-37 °C,,10.0,37.0,30.0,10,37,30
Acinetobacter soli,"Kim-2008-Acinetobacter soli sp. nov., isolated",10-40°C (optimum 30°C),,10.0,40.0,30.0,10,40,30
Acinetobacter soli sp. nov.,"Kim-2008-Acinetobacter soli sp. nov., isolated",10~41°C,,10.0,41.0,,10,41,
Acinetobacter tandoii,Carr-2003-Seven novel species of Acinetobacter,"30 | 37 °C, but not at 41 or 44 °C",,30.0,37.0,,30,37,
Acinetobacter thermotoleranticus,Wolterink-2005-Dechloromonas hortensis sp nov,thermotolerant,,,,,,,
Acinetobacter tjernbergiae,Carr-2003-Seven novel species of Acinetobacter,30 | No growth at 37 °C or higher,,,37.0,30.0,,37,30
Acinetobacter towneri,Carr-2003-Seven novel species of Acinetobacter,"30 | 37 and 41 °C, but not at 44 °C",,30.0,44.0,37.0,30,44,37
Acinetobacter variabilis,Krizova-2015-Acinetobacter variabilis sp nov (,30,,,,30.0,,,30
Acinetobacter variabilis sp. nov.,Krizova-2015-Acinetobacter variabilis sp nov (,"41°C | 25-41°C, weakly at 44°C",,25.0,44.0,41.0,25,44,41
Acinetobacter venetianus,Vaneechoutte-2009-Description of Acinetobacter,30-37°C | 30,,30.0,37.0,30.0,30,37,30
Acrocarpospora macrocephala,"Tamura-2000-Acrocarpospora gen. nov., a new ge",28°C | 20-30 °C | 20-30°C,,20.0,30.0,28.0,20,30,28
Acrocarpospora pleiomorpha,"Tamura-2000-Acrocarpospora gen. nov., a new ge",28°C | 20-30 °C | 20-30°C,,20.0,30.0,28.0,20,30,28
Actibacter haliotis,"Hyun-2015-Actibacter haliotis sp nov., isolate",15-30 °C (optimal 25 °C) | 15-30°C (optimum 25°C),,15.0,30.0,25.0,15,30,25
Actibacter sediminis,"Kim-2008-Actibacter sediminis gen. nov., sp no",5-50°C (optimal 30°C) | 5-45°C (optimum 37°C),,5.0,"45.0, 50.0","30.0, 37.0",5,50,33.5
Actibacterium mucosum,"Lucena-2012-Actibacterium mucosum gen. nov., s",15-37°C | 15-37 °C (optimal at 28 °C),,15.0,37.0,28.0,15,37,28
Actibacterium pelagium,"Guo-2017-Actibacterium pelagium sp nov., a nov",4-35°C | 10-35°C (optimum 30°C),,4.0,35.0,30.0,4,35,30
Actibacterium ureilyticum,"Lin-2016-Actibacterium ureilyticum sp nov., is",15-40°C | 15-40°C (optimal 30°C),,15.0,40.0,30.0,15,40,30
Actinaurispora siamensis,Thawai-2010-Actinaurispora siamensis gen. nov,"30 | 25-30 °C (optimal), no growth above 40 °C",,25.0,40.0,30.0,25,40,30
Actinoallomurus acaciae,Thamchaipenet-2010-Actinoallomurus acaciae sp,12-41°C (optimal 28-30°C) | 28-30,,12.0,41.0,29.0,12,41,29
Actinoallomurus acanthiterrae,Tang-2013-Actinoallomurus acanthiterrae sp nov,18-37°C | 18-37 °C (optimum 28-37 °C),,18.0,37.0,,18,37,
Actinoallomurus amamiensis,Tamura-2009-Transfer of Actinomadura spadix No,20-37 °C,,20.0,37.0,,20,37,
Actinoallomurus caesius,Tamura-2009-Transfer of Actinomadura spadix No,20-37 °C,,20.0,37.0,,20,37,
Actinoallomurus coprocola,Tamura-2009-Transfer of Actinomadura spadix No,room temperature,,,,,,,
Actinoallomurus fulvus,Tamura-2009-Transfer of Actinomadura spadix No,20-37 °C,,20.0,37.0,,20,37,
Actinoallomurus iriomotensis,Tamura-2009-Transfer of Actinomadura spadix No,20-37 °C,,20.0,37.0,,20,37,
Actinoallomurus luridus,Tamura-2009-Transfer of Actinomadura spadix No,20-45 °C,,20.0,45.0,,20,45,
Actinoallomurus oryzae,Indananda-2011-Actinoallomurus oryzae sp. nov,27 | 21-45 °C (optimal 32-39 °C),,21.0,45.0,,21,45,
Actinoallomurus purpureus,Tamura-2009-Transfer of Actinomadura spadix No,15-30 °C,,15.0,30.0,,15,30,
Actinoallomurus yoronensis,Tamura-2009-Transfer of Actinomadura spadix No,15-37 °C,,15.0,37.0,,15,37,
Actinoalloteichus cyanogriseus,Tamura-2000-Actinoalloteichus cyanogriseus gen,20-37 °C,,20.0,37.0,,20,37,
Actinoalloteichus hoggarensis,Boudjelal-2015-Actinoalloteichus hoggarensis s,30 | 20-37°C (optimum 30°C),,20.0,37.0,30.0,20,37,30
Actinoalloteichus hymeniacidonis,Zhang-2006-Actinoalloteichus hymeniacidonis sp,20-37 °C,,20.0,37.0,,20,37,
Actinoalloteichus nanshanensis,Xiang-2011-Actinoalloteichus nanshanensis sp n,20-37 °C (optimum 28 °C) | 20-37°C (optimum 28°C),,20.0,37.0,28.0,20,37,28
Actinoalloteichus spitiensis,Singla-2005-Actinoalloteichus spitiensis sp no,20-37°C (optimum 25°C),,20.0,37.0,25.0,20,37,25
Actinobacillus anseriformium,Bisgaard-2012-Classification of avian haemolyt,37,,,,37.0,,,37
Actinobacillus arthritidis,Christensen-2002-Final classification of Bisga,37 | 37 °C,,,,37.0,,,37
Actinobacillus delphinicola,Foster-1996-Actinobacillus delphinicola sp nov,30-42°C | 37-42°C (no growth at 22°C),,30.0,42.0,,30,42,
Actinobacillus delphinicola sp. nov.,Foster-1996-Actinobacillus delphinicola sp nov,22-42°C,,22.0,42.0,,22,42,
Actinobacillus equuli subsp. equuli subsp. nov.,Christensen-2002-Reclassification of equine is,37,,,,37.0,,,37
Actinobacillus equuli subsp. haemolyticus subsp. nov.,Christensen-2002-Reclassification of equine is,37,,,,37.0,,,37
Actinobacillus pleuropneumoniae,Pohl-1983-Transfer of Hemophilus-Pleuropneumon,35 | 37,,35.0,37.0,,35,37,
Actinobacillus scotiae,"Foster-1998-Actinobacillus scotiae sp. nov., a",25-37 °C | 25-37°C (no growth at 42°C),,25.0,37.0,,25,37,
Actinobacillus succinogenes,Guettler-1999-Actinobacillus succinogenes sp,37 | 37-39 °C,,37.0,39.0,37.0,37,39,37
Actinobaculum schaalii,Lawson-1997-Characterization of some Actinomyc,"37 | 37°C (optimal), range 30-43°C",,30.0,43.0,37.0,30,43,37
Actinobaculum urinale,"Hall-2003-Actinobaculum urinale sp nov., from",37,,,,37.0,,,37
Actinobispora alaniniphila,Xu-1999-Three new species of the genus Actinob,28,,,,28.0,,,28
Actinobispora aurantiaca,Xu-1999-Three new species of the genus Actinob,28,,,,28.0,,,28
Actinobispora xinjiangensis,Xu-1999-Three new species of the genus Actinob,28,,,,28.0,,,28
Actinobispora yunnanensis,"Jiang-1991-Actinobispora, a New Genus of the O","28°C (optimum), up to 45°C",,,45.0,28.0,,45,28
Actinocatenispora rupis,"Seo-2009-Actinocatenispora rupis sp nov., isol",25-42 °C | 25-42 °C (optimum 37 °C),,25.0,42.0,37.0,25,42,37
Actinocatenispora thailandica,Thawai-2006-Actinocatenispora thailandica gen,"30 | 25-30 °C optimal, no growth above 40 °C",,25.0,40.0,30.0,25,40,30
Actinocorallia aurea,Tamura-2007-Classification of 'Sarraceniospora,"20-30°C (optimum), grows at 37°C, does not grow at 45°C",,20.0,37.0,25.0,20,37,25
Actinocorallia cavernae,"Lee-2006-Actinocorallia cavernae sp nov., isol","28-30°C (optimal), range 10-45°C | 25-30 °C",,10.0,45.0,29.0,10,45,29
Actinocorallia herbida,"Iinuma-1994-Actinocorallia Gen-Nov, a New Genu",12-38°C (optimum 24-32°C) | 12 to 38°C (optimum 24 to 32°C),,12.0,38.0,,12,38,
Actinocorallia lasiicapitis,Liu-2016-Actinocorallia lasiicapitis sp nov,4-37°C (optimum 25-30°C) | 4-14°C,,4.0,37.0,,4,37,
